,vacancy_name,vacancy_link,employer_link,salary_min,salary_max,salary_unit
0,Программист-разработчик (python),https://ekaterinburg.hh.ru/vacancy/37674249?query=python,https://hh.ru/employer/1776381,100000.0,180000.0,руб.
1,Machine Learning Developer,https://ekaterinburg.hh.ru/vacancy/37844601?query=python,https://hh.ru/employer/1455?dpt=hh-1455-ds,,,
2,Junior Python (Django),https://ekaterinburg.hh.ru/vacancy/39110303?query=python,https://hh.ru/employer/771418,,70000.0,руб.
3,Python-Разработчик (удаленно),https://ekaterinburg.hh.ru/vacancy/38624353?query=python,https://hh.ru/employer/2730772,,250000.0,руб.
4,Python разработчик,https://ekaterinburg.hh.ru/vacancy/39085104?query=python,https://hh.ru/employer/2386651,100000.0,120000.0,руб.
5,Программист Python,https://ekaterinburg.hh.ru/vacancy/38660476?query=python,https://hh.ru/employer/4835563,120000.0,170000.0,руб.
6,"Python-разработчик (Django, DRF)",https://ekaterinburg.hh.ru/vacancy/39137779?query=python,https://hh.ru/employer/4596113,60000.0,150000.0,руб.
7,Программист Python,https://ekaterinburg.hh.ru/vacancy/39053902?query=python,https://hh.ru/employer/1517303,125000.0,180000.0,руб.
8,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/39108864?query=python,https://hh.ru/employer/66123,150000.0,170000.0,руб.
9,Python - Software Engineer,https://ekaterinburg.hh.ru/vacancy/38715377?query=python,https://hh.ru/employer/4805547,2500.0,4000.0,USD
10,Программист Python,https://ekaterinburg.hh.ru/vacancy/39038710?query=python,https://hh.ru/employer/2009224,120000.0,220000.0,руб.
11,Программист (Back-end) Python,https://ekaterinburg.hh.ru/vacancy/39138858?query=python,https://hh.ru/employer/2535146,150000.0,,руб.
12,Backend разработчик на python,https://ekaterinburg.hh.ru/vacancy/39153243?query=python,https://hh.ru/employer/899441,80000.0,,руб.
13,Программист-разработчик Python/Django,https://ekaterinburg.hh.ru/vacancy/38815968?query=python,https://hh.ru/employer/4740514,80000.0,120000.0,руб.
14,"Программист-разработчик Python/Django (frontend, backend)",https://ekaterinburg.hh.ru/vacancy/39069137?query=python,https://hh.ru/employer/1874868,100000.0,,руб.
15,Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/38823396?query=python,https://hh.ru/employer/3151408,230000.0,,руб.
16,Программист Python,https://ekaterinburg.hh.ru/vacancy/39126632?query=python,https://hh.ru/employer/2070865,100000.0,,руб.
17,Разработчик на Python,https://ekaterinburg.hh.ru/vacancy/39162052?query=python,https://hh.ru/employer/1740,,,
18,Python разработчик,https://ekaterinburg.hh.ru/vacancy/37486302?query=python,https://hh.ru/employer/142683,130000.0,220000.0,руб.
19,Backend python/Django разработчик,https://ekaterinburg.hh.ru/vacancy/39147826?query=python,https://hh.ru/employer/2464195,120000.0,200000.0,руб.
20,Программист Python (Senior) remote,https://ekaterinburg.hh.ru/vacancy/38777732?query=python,https://hh.ru/employer/4502343,2500.0,5500.0,USD
21,Python developer,https://ekaterinburg.hh.ru/vacancy/36267171?query=python,https://hh.ru/employer/2234168?dpt=2234168-2234168-msk,150000.0,200000.0,руб.
22,Team Lead (Python/Django 3),https://ekaterinburg.hh.ru/vacancy/39063576?query=python,https://hh.ru/employer/598439,240000.0,,руб.
23,"Backend-разработчик (Python, Django)",https://ekaterinburg.hh.ru/vacancy/38923809?query=python,https://hh.ru/employer/1483209,150000.0,,руб.
24,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38518160?query=python,https://hh.ru/employer/2987,,,
25,Web-разработчик на Python,https://ekaterinburg.hh.ru/vacancy/37757725?query=python,https://hh.ru/employer/28247,140000.0,,руб.
26,Senior Python developer,https://ekaterinburg.hh.ru/vacancy/30005963?query=python,https://hh.ru/employer/899854,4000.0,,USD
27,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/38562458?query=python,https://hh.ru/employer/851716,150000.0,,руб.
28,Python разработчик,https://ekaterinburg.hh.ru/vacancy/39085066?query=python,https://hh.ru/employer/1740,,,
29,"Python разработчик HFT (торговые роботы, криптовалюты, нейросети) (remote, опцион)",https://ekaterinburg.hh.ru/vacancy/38763289?query=python,https://hh.ru/employer/2561111,100000.0,150000.0,руб.
30,Backend-разработчик на Python/Golang,https://ekaterinburg.hh.ru/vacancy/39122370?query=python,https://hh.ru/employer/3347393,120000.0,,руб.
31,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/39124843?query=python,https://hh.ru/employer/6189,,,
32,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38430869?query=python,https://hh.ru/employer/2262181,,,
33,"Стажёр (по анализу данных, data science)",https://ekaterinburg.hh.ru/vacancy/36154902?query=python,https://hh.ru/employer/237383,,,
34,С/С++/Python Developer,https://ekaterinburg.hh.ru/vacancy/38918960?query=python,https://hh.ru/employer/4718359,120000.0,150000.0,руб.
35,Python (Django) developer,https://ekaterinburg.hh.ru/vacancy/38602900?query=python,https://hh.ru/employer/598471,,220000.0,руб.
36,"Разработчик автоматических тестов GUI (Python, Squish)",https://ekaterinburg.hh.ru/vacancy/38036578?query=python,https://hh.ru/employer/899854,3000.0,,USD
37,Python Developer,https://ekaterinburg.hh.ru/vacancy/39135377?query=python,https://hh.ru/employer/1740,,,
38,Junior Data Engineer,https://ekaterinburg.hh.ru/vacancy/38700859?query=python,https://hh.ru/employer/3536900,100000.0,150000.0,руб.
39,Программист Python,https://ekaterinburg.hh.ru/vacancy/38810095?query=python,https://hh.ru/employer/2584006,130000.0,,руб.
40,Python Developer,https://ekaterinburg.hh.ru/vacancy/38650571?query=python,https://hh.ru/employer/1911705,120000.0,150000.0,руб.
41,Junior Python Developer,https://ekaterinburg.hh.ru/vacancy/39007842?query=python,https://hh.ru/employer/3704198,45000.0,60000.0,руб.
42,Backend-разработчик (Python),https://ekaterinburg.hh.ru/vacancy/38525314?query=python,https://hh.ru/employer/92258,150000.0,,руб.
43,Программист Python,https://ekaterinburg.hh.ru/vacancy/34608956?query=python,https://hh.ru/employer/1518605,,,
44,Data Scientist / Machine Learning Engineer,https://ekaterinburg.hh.ru/vacancy/38732890?query=python,https://hh.ru/employer/5552,150000.0,,руб.
45,Senior ML Engineer,https://ekaterinburg.hh.ru/vacancy/38802418?query=python,https://hh.ru/employer/1961882,3000.0,,USD
46,Программист Python,https://ekaterinburg.hh.ru/vacancy/38991528?query=python,https://hh.ru/employer/1111058,140000.0,210000.0,руб.
47,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/39156351?query=python,https://hh.ru/employer/4572173,,,
48,Backend python разработчик,https://ekaterinburg.hh.ru/vacancy/38799261?query=python,https://hh.ru/employer/4934?dpt=bil-4934-beel,,,
49,Code reviewer (Python),https://ekaterinburg.hh.ru/vacancy/38640656?query=python,https://hh.ru/employer/1740,,,
50,Backend-разработчик Python + Django (Middle/Senior),https://ekaterinburg.hh.ru/vacancy/39025860?query=python,https://hh.ru/employer/3926440,120000.0,200000.0,руб.
51,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/37053392?query=python,https://hh.ru/employer/1111946,,,
52,Full stack developer (Python / Django / Vue),https://ekaterinburg.hh.ru/vacancy/37706589?query=python,https://hh.ru/employer/597423,1500.0,,EUR
53,Backend программист (Python),https://ekaterinburg.hh.ru/vacancy/38845851?query=python,https://hh.ru/employer/1111946,,,
54,Software Developer Python,https://ekaterinburg.hh.ru/vacancy/39161733?query=python,https://hh.ru/employer/4643769,70000.0,140000.0,руб.
55,Разработчик (Python),https://ekaterinburg.hh.ru/vacancy/38401769?query=python,https://hh.ru/employer/4112759,120000.0,170000.0,руб.
56,QA / Автотестировщик (Python),https://ekaterinburg.hh.ru/vacancy/37856224?query=python,https://hh.ru/employer/6189,,250000.0,руб.
57,С/С++/Python Developer,https://ekaterinburg.hh.ru/vacancy/39121303?query=python,https://hh.ru/employer/4718359,120000.0,150000.0,руб.
58,Web-разработчик (Python),https://ekaterinburg.hh.ru/vacancy/39136171?query=python,https://hh.ru/employer/4680,,,
59,Программист Python,https://ekaterinburg.hh.ru/vacancy/35870480?query=python,https://hh.ru/employer/103944,,,
60,Machine Learning Engineer,https://ekaterinburg.hh.ru/vacancy/38986958?query=python,https://hh.ru/employer/2370983,,200000.0,руб.
61,Python Developer,https://ekaterinburg.hh.ru/vacancy/37279768?query=python,https://hh.ru/employer/3269391,,,
62,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/39099741?query=python,https://hh.ru/employer/3819413,,,
63,Pyth‎on Developer,https://ekaterinburg.hh.ru/vacancy/37430732?query=python,https://hh.ru/employer/1429999,,,
64,Python разработчик в Умные устройства,https://ekaterinburg.hh.ru/vacancy/38514489?query=python,https://hh.ru/employer/15478,,,
65,Python senior developer,https://ekaterinburg.hh.ru/vacancy/37115745?query=python,https://hh.ru/employer/2730772,180000.0,300000.0,руб.
66,Python developer / data scientist,https://ekaterinburg.hh.ru/vacancy/39103246?query=python,https://hh.ru/employer/711221,,,
67,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38303553?query=python,https://hh.ru/employer/2739341,,,
68,Программист Python,https://ekaterinburg.hh.ru/vacancy/38935769?query=python,https://hh.ru/employer/4675380,,,
69,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38547443?query=python,https://hh.ru/employer/213397,,,
70,Middle Python developer (Remote/ Удаленно),https://ekaterinburg.hh.ru/vacancy/39097253?query=python,https://hh.ru/employer/659638,,150000.0,руб.
71,QA Automation Engineer (Python),https://ekaterinburg.hh.ru/vacancy/39068627?query=python,https://hh.ru/employer/941273,150000.0,,руб.
72,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38585601?query=python,https://hh.ru/employer/2005098,,,
73,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38318159?query=python,https://hh.ru/employer/2136954,,,
74,Программист с опытом разработки на Gо/Java/Python удаленно.,https://ekaterinburg.hh.ru/vacancy/39054631?query=python,https://hh.ru/employer/626303,,,
75,Fullstack Python develover / Разработчик Python/Django,https://ekaterinburg.hh.ru/vacancy/39149028?query=python,https://hh.ru/employer/4473992,,,
76,Python разработчик,https://ekaterinburg.hh.ru/vacancy/39120555?query=python,https://hh.ru/employer/3809?dpt=sbr-3809-sibb,,,
77,Программист Python,https://ekaterinburg.hh.ru/vacancy/38613492?query=python,https://hh.ru/employer/2097846,,,
78,Front-end разработчик (Python/django),https://ekaterinburg.hh.ru/vacancy/38931639?query=python,https://hh.ru/employer/2523?dpt=2523-2523-ofis,,,
79,Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/38650531?query=python,https://hh.ru/employer/1911705,180000.0,200000.0,руб.
80,Python разработчик/программист (Middle Python Developer),https://ekaterinburg.hh.ru/vacancy/38967646?query=python,https://hh.ru/employer/4276064,160000.0,,руб.
81,Python Developer,https://ekaterinburg.hh.ru/vacancy/39055532?query=python,https://hh.ru/employer/4557756,,,
82,Python middle developer,https://ekaterinburg.hh.ru/vacancy/36449432?query=python,https://hh.ru/employer/2730772,120000.0,160000.0,руб.
83,Python разработчик,https://ekaterinburg.hh.ru/vacancy/38959785?query=python,https://hh.ru/employer/1038532,,,
84,Go/Python developer,https://ekaterinburg.hh.ru/vacancy/39131091?query=python,https://hh.ru/employer/780654,,,
85,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/36711877?query=python,https://hh.ru/employer/737263,,,
86,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38511802?query=python,https://hh.ru/employer/238419,,,
87,Data Scientist (Computer Vision),https://ekaterinburg.hh.ru/vacancy/38090271?query=python,https://hh.ru/employer/4046921,90000.0,200000.0,руб.
88,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/38727339?query=python,https://hh.ru/employer/2690744,,,
89,Программист C++/Python,https://ekaterinburg.hh.ru/vacancy/37817365?query=python,https://hh.ru/employer/59351,100000.0,180000.0,руб.
90,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/39064220?query=python,https://hh.ru/employer/95255,,,
91,Full Stack Python Developer / Программист Python,https://ekaterinburg.hh.ru/vacancy/38860757?query=python,https://hh.ru/employer/224467,,,
92,Backend Python / Django разработчик (удаленная работа),https://ekaterinburg.hh.ru/vacancy/38991499?query=python,https://hh.ru/employer/3934385,50000.0,80000.0,руб.
93,Разработчик Python (RuBackup),https://ekaterinburg.hh.ru/vacancy/38826401?query=python,https://hh.ru/employer/238419,,,
94,Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/38524129?query=python,https://hh.ru/employer/914246,,350000.0,руб.
95,Python developer,https://ekaterinburg.hh.ru/vacancy/38935014?query=python,https://hh.ru/employer/563765,,,
96,Разработчик Python (middle / senior) удалённо,https://ekaterinburg.hh.ru/vacancy/39163954?query=python,https://hh.ru/employer/1514066,60000.0,140000.0,руб.
97,Data Engineer,https://ekaterinburg.hh.ru/vacancy/37422995?query=python,https://hh.ru/employer/2223982,200000.0,,руб.
98,Разработчик Python/Data Engineer,https://ekaterinburg.hh.ru/vacancy/39065770?query=python,https://hh.ru/employer/3063,,,
99,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/35871016?query=python,https://hh.ru/employer/2283457,,,
100,"Full-stack разработчик (Python, JavaScript)",https://ekaterinburg.hh.ru/vacancy/38088239?query=python,https://hh.ru/employer/4046921,70000.0,180000.0,руб.
101,"Full Stack разработчик (Python, React, PostgreSQL)",https://ekaterinburg.hh.ru/vacancy/38966721?query=python,https://hh.ru/employer/3564390,150000.0,,руб.
102,Data Scientist,https://ekaterinburg.hh.ru/vacancy/38660521?query=python,https://hh.ru/employer/4835563,120000.0,170000.0,руб.
103,Инженер по автоматизации тестирования / Python разработчик,https://ekaterinburg.hh.ru/vacancy/37169502?query=python,https://hh.ru/employer/37471,,,
104,Билд-инженер/Программист Python (Continuous Integration),https://ekaterinburg.hh.ru/vacancy/38766644?query=python,https://hh.ru/employer/1938,,,
105,Разработчик C++ (Real-time Computer Vision),https://ekaterinburg.hh.ru/vacancy/38854104?query=python,https://hh.ru/employer/2178502,150000.0,200000.0,руб.
106,Data Engineer,https://ekaterinburg.hh.ru/vacancy/36409905?query=python,https://hh.ru/employer/2730772,160000.0,200000.0,руб.
107,Python developer,https://ekaterinburg.hh.ru/vacancy/37609721?query=python,https://hh.ru/employer/790022,,,
108,Ведущий программист (Python),https://ekaterinburg.hh.ru/vacancy/37729816?query=python,https://hh.ru/employer/790022,,,
109,Go/Python developer,https://ekaterinburg.hh.ru/vacancy/36774590?query=python,https://hh.ru/employer/4357678,,,
110,Senior Python Developer (to Riga),https://ekaterinburg.hh.ru/vacancy/39025497?query=python,https://hh.ru/employer/3870857,,,
111,QA Engineer (Python),https://ekaterinburg.hh.ru/vacancy/38878778?query=python,https://hh.ru/employer/575393,,,
112,Python-разработчик (full stack),https://ekaterinburg.hh.ru/vacancy/38784499?query=python,https://hh.ru/employer/213004,,,
113,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/38399892?query=python,https://hh.ru/employer/17520,,,
114,Middle/Senior Python разработчик,https://ekaterinburg.hh.ru/vacancy/38982188?query=python,https://hh.ru/employer/1975782,,,
115,Python/Go Developer,https://ekaterinburg.hh.ru/vacancy/38318107?query=python,https://hh.ru/employer/2136954,,,
116,QA Engineer (Python),https://ekaterinburg.hh.ru/vacancy/38615871?query=python,https://hh.ru/employer/4281,,,
117,Программист Python (Middle),https://ekaterinburg.hh.ru/vacancy/38566344?query=python,https://hh.ru/employer/2223982,,250000.0,руб.
118,Python Developer,https://ekaterinburg.hh.ru/vacancy/39131164?query=python,https://hh.ru/employer/3529?dpt=3529-3529-prof,,,
119,Data Engineer (удаленно),https://ekaterinburg.hh.ru/vacancy/39016601?query=python,https://hh.ru/employer/3027124,,,
120,Разработчик Python 3 Django,https://ekaterinburg.hh.ru/vacancy/38743313?query=python,https://hh.ru/employer/139,,,
121,CG программист (Python/C++),https://ekaterinburg.hh.ru/vacancy/26680990?query=python,https://hh.ru/employer/4161,,,
122,Python Django разработчик,https://ekaterinburg.hh.ru/vacancy/39020203?query=python,https://hh.ru/employer/792914,,,
123,Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/38318117?query=python,https://hh.ru/employer/2136954,,,
124,Python backend developer,https://ekaterinburg.hh.ru/vacancy/39067708?query=python,https://hh.ru/employer/779048,,,
125,Преподаватель Python & Data Science и Machine Learning,https://ekaterinburg.hh.ru/vacancy/36437887?query=python,https://hh.ru/employer/8219,150000.0,,руб.
126,Python - разработчик,https://ekaterinburg.hh.ru/vacancy/38813121?query=python,https://hh.ru/employer/210154,,,
127,Python backend инженер,https://ekaterinburg.hh.ru/vacancy/38855190?query=python,https://hh.ru/employer/4853939,100000.0,160000.0,руб.
128,Senior python developer,https://ekaterinburg.hh.ru/vacancy/37583293?query=python,https://hh.ru/employer/1440683,,,
129,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/37706591?query=python,https://hh.ru/employer/2643808,,,
130,Python Developer,https://ekaterinburg.hh.ru/vacancy/39018762?query=python,https://hh.ru/employer/4055976,,200000.0,руб.
131,Программист Python,https://ekaterinburg.hh.ru/vacancy/38429768?query=python,https://hh.ru/employer/8327,70000.0,,руб.
132,Python developer,https://ekaterinburg.hh.ru/vacancy/38897245?query=python,https://hh.ru/employer/705624,160000.0,200000.0,руб.
133,Python developer (Data Engineer),https://ekaterinburg.hh.ru/vacancy/33647219?query=python,https://hh.ru/employer/790022,,,
134,Программист,https://ekaterinburg.hh.ru/vacancy/38879745?query=python,https://hh.ru/employer/4835563,120000.0,170000.0,руб.
135,Ведущий программист Python,https://ekaterinburg.hh.ru/vacancy/36618179?query=python,https://hh.ru/employer/58031,,,
136,Senior Python developer,https://ekaterinburg.hh.ru/vacancy/39069567?query=python,https://hh.ru/employer/2156053,,,
137,Программист Python (Django),https://ekaterinburg.hh.ru/vacancy/39018086?query=python,https://hh.ru/employer/197135,,,
138,Программист Python,https://ekaterinburg.hh.ru/vacancy/38727910?query=python,https://hh.ru/employer/3532995,,,
139,Python Developer,https://ekaterinburg.hh.ru/vacancy/38848417?query=python,https://hh.ru/employer/4508336,3000.0,4000.0,USD
140,Data Scientist (ML/CV),https://ekaterinburg.hh.ru/vacancy/38742848?query=python,https://hh.ru/employer/4718359,180000.0,200000.0,руб.
